Reading,Spelling,Comprehension,Mathematics,Remarks
72,86,74,80,['Child is very Inteligent']
76,82,72,77,['Child is very Inteligent']
66,86,82,84,['Child is very Inteligent']
60,80,74,77,['Child is very Inteligent']
64,80,72,76,['Child is very Inteligent']
62,80,82,81,['Child is very Inteligent']
42,88,76,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
58,76,74,75,['Child is very Inteligent']
44,76,70,73,"['Practice, the more  you read the better reader you become, do feed your mind']"
60,40,52,46,"['Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
80,52,40,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
92,72,82,77,['Child is very Inteligent']
86,80,90,85,['Child is very Inteligent']
82,76,90,83,['Child is very Inteligent']
84,50,54,52,['Child is inteligent but needs help from guidane also']
72,72,72,72,['Child is very Inteligent']
76,50,78,64,['Child is inteligent but needs help from guidane also']
66,70,60,65,['Child is very Inteligent']
60,80,80,80,['Child is very Inteligent']
64,50,56,53,['Child is inteligent but needs help from guidane also']
62,36,20,28,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
65,70,58,80,['Child is very Inteligent']
58,70,58,64,['Child is very Inteligent']
44,60,60,60,"['Practice, the more  you read the better reader you become, do feed your mind']"
48,28,38,33,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
60,76,74,75,['Child is very Inteligent']
80,76,70,73,['Child is very Inteligent']
92,40,52,46,"['Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
86,74,80,84,['Child is very Inteligent']
82,80,81,76,['Child is very Inteligent']
84,74,79,81,['Child is very Inteligent']
72,70,71,77,['Child is very Inteligent']
76,50,63,72,['Child is inteligent but needs help from guidane also']
66,50,58,86,['Child is inteligent but needs help from guidane also']
60,50,55,66,['Child is inteligent but needs help from guidane also']
64,52,58,70,['Child is very Inteligent']
62,50,56,67,['Child is inteligent but needs help from guidane also']
42,30,36,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
58,89,56,80,['Child is very Inteligent']
44,88,37,80,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
60,40,55,58,['Practice wide and wild reading to improve vocabulary']
60,30,55,76,['Practice wide and wild reading to improve vocabulary']
70,30,38,34,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
34,40,45,95,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
85,47,46,93,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
83,45,39,84,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
52,43,41,84,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
72,44,45,89,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
64,45,37,82,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
65,39,42,81,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
80,43,40,83,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
53,47,35,82,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
